id	Desplazamiento	Velocidad	Aceleracion
1.430000	0.087230	0.234229	-3.156466	
1.440000	0.089412	0.201948	-3.279763	
1.450000	0.091265	0.168494	-3.390829	
1.460000	0.092778	0.133991	-3.489070	
1.470000	0.093942	0.098571	-3.573943	
1.480000	0.094747	0.062370	-3.644960	
1.490000	0.095187	0.025530	-3.701682	
1.500000	0.095256	-0.011805	-3.743732	
1.510000	0.094950	-0.049485	-3.770789	
1.520000	0.094266	-0.087358	-3.782596	
1.530000	0.093202	-0.125272	-3.778955	
1.540000	0.091761	-0.163069	-3.759735	
1.550000	0.089942	-0.200595	-3.724867	
1.560000	0.087750	-0.237691	-3.674352	
1.570000	0.085190	-0.274202	-3.608254	
1.580000	0.082268	-0.309971	-3.526703	
1.590000	0.078994	-0.344845	-3.429900	
1.600000	0.075375	-0.378672	-3.318107	
1.610000	0.071424	-0.411304	-3.191655	
1.620000	0.067153	-0.442595	-3.050938	
1.630000	0.062577	-0.472405	-2.896415	
1.640000	0.057711	-0.500598	-2.728606	
1.650000	0.052571	-0.527044	-2.548091	
1.660000	0.047176	-0.551619	-2.355509	
1.670000	0.041545	-0.574204	-2.151555	
1.680000	0.035699	-0.594691	-1.936977	
1.690000	0.029658	-0.612975	-1.712574	
1.700000	0.023447	-0.628964	-1.479193	
1.710000	0.017087	-0.642572	-1.237725	
1.720000	0.010603	-0.653722	-0.989100	
1.730000	0.004021	-0.662347	-0.734290	
1.740000	-0.002635	-0.668391	-0.474296	
1.750000	-0.009338	-0.671807	-0.210151	
1.760000	-0.016062	-0.672558	0.057089	
1.770000	-0.022781	-0.670619	0.326343	
1.780000	-0.029466	-0.665976	0.596518	
1.790000	-0.036091	-0.658624	0.866506	
1.800000	-0.042630	-0.648571	1.135192	
1.810000	-0.049054	-0.635836	1.401459	
1.820000	-0.055338	-0.620449	1.664191	
1.830000	-0.061454	-0.602451	1.922278	
1.840000	-0.067378	-0.581895	2.174622	
1.850000	-0.073084	-0.558842	2.420141	
1.860000	-0.078547	-0.533367	2.657773	
1.870000	-0.083744	-0.505554	2.886482	
1.880000	-0.088651	-0.475499	3.105262	
1.890000	-0.093247	-0.443304	3.313138	
1.900000	-0.097510	-0.409085	3.509178	
1.910000	-0.101422	-0.372965	3.692488	
1.920000	-0.104964	-0.335075	3.862224	
1.930000	-0.108118	-0.295556	4.017592	
1.940000	-0.110870	-0.254556	4.157850	
1.950000	-0.113205	-0.212229	4.282314	
1.960000	-0.115111	-0.168737	4.390364	
1.970000	-0.116577	-0.124248	4.481439	
1.980000	-0.117593	-0.078934	4.555047	
1.990000	-0.118153	-0.032972	4.610765	
2.000000	-0.118251	0.013456	4.648240	
2.010000	-0.117883	0.060166	4.667193	
2.020000	-0.117047	0.106971	4.667419	
2.030000	-0.115744	0.153683	4.648789	
2.040000	-0.113975	0.200112	4.611252	
2.050000	-0.111743	0.246069	4.554832	
2.060000	-0.109056	0.291366	4.479635	
2.070000	-0.105919	0.335814	4.385840	
