id	Desplazamiento	Velocidad	Aceleracion
1.430000	0.087254	0.234382	-3.166138	
1.440000	0.089437	0.202093	-3.289702	
1.450000	0.091292	0.168629	-3.400998	
1.460000	0.092807	0.134116	-3.499431	
1.470000	0.093971	0.098685	-3.584459	
1.480000	0.094778	0.062473	-3.655589	
1.490000	0.095219	0.025621	-3.712385	
1.500000	0.095288	-0.011726	-3.754466	
1.510000	0.094983	-0.049419	-3.781513	
1.520000	0.094299	-0.087305	-3.793267	
1.530000	0.093237	-0.125232	-3.789530	
1.540000	0.091795	-0.163044	-3.770171	
1.550000	0.089977	-0.200583	-3.735123	
1.560000	0.087785	-0.237694	-3.684384	
1.570000	0.085225	-0.274219	-3.618020	
1.580000	0.082303	-0.310003	-3.536163	
1.590000	0.079028	-0.344891	-3.439012	
1.600000	0.075409	-0.378733	-3.326833	
1.610000	0.071457	-0.411379	-3.199956	
1.620000	0.067186	-0.442684	-3.058778	
1.630000	0.062608	-0.472508	-2.903758	
1.640000	0.057741	-0.500715	-2.735417	
1.650000	0.052600	-0.527174	-2.554340	
1.660000	0.047203	-0.551761	-2.361165	
1.670000	0.041571	-0.574359	-2.156590	
1.680000	0.035723	-0.594858	-1.941366	
1.690000	0.029681	-0.613154	-1.716294	
1.700000	0.023468	-0.629154	-1.482222	
1.710000	0.017106	-0.642771	-1.240045	
1.720000	0.010621	-0.653931	-0.990697	
1.730000	0.004036	-0.662565	-0.735150	
1.740000	-0.002622	-0.668616	-0.474409	
1.750000	-0.009328	-0.672039	-0.209510	
1.760000	-0.016054	-0.672796	0.058487	
1.770000	-0.022774	-0.670862	0.328501	
1.780000	-0.029462	-0.666223	0.599433	
1.790000	-0.036090	-0.658874	0.870172	
1.800000	-0.042631	-0.648824	1.139602	
1.810000	-0.049057	-0.636091	1.406601	
1.820000	-0.055344	-0.620704	1.670051	
1.830000	-0.061463	-0.602705	1.928838	
1.840000	-0.067389	-0.582146	2.181863	
1.850000	-0.073097	-0.559091	2.428040	
1.860000	-0.078563	-0.533612	2.666304	
1.870000	-0.083762	-0.505794	2.895617	
1.880000	-0.088671	-0.475733	3.114968	
1.890000	-0.093269	-0.443531	3.323382	
1.900000	-0.097535	-0.409305	3.519923	
1.910000	-0.101449	-0.373176	3.703697	
1.920000	-0.104993	-0.335276	3.873856	
1.930000	-0.108149	-0.295746	4.029603	
1.940000	-0.110903	-0.254735	4.170197	
1.950000	-0.113239	-0.212395	4.294950	
1.960000	-0.115147	-0.168890	4.403241	
1.970000	-0.116614	-0.124387	4.494508	
1.980000	-0.117632	-0.079059	4.568258	
1.990000	-0.118193	-0.033082	4.624067	
2.000000	-0.118292	0.013362	4.661581	
2.010000	-0.117925	0.060088	4.680521	
2.020000	-0.117090	0.106909	4.680681	
2.030000	-0.115787	0.153638	4.661932	
2.040000	-0.114018	0.200085	4.624223	
2.050000	-0.111787	0.246060	4.567579	
2.060000	-0.109099	0.291374	4.492105	
2.070000	-0.105962	0.335840	4.397983	
2.080000	-0.102386	0.379272	4.285474	
2.090000	-0.098381	0.421489	4.154914	
2.100000	-0.093961	0.462312	4.006719	
2.110000	-0.089140	0.501566	3.841377	
2.120000	-0.083935	0.539084	3.659451	
2.130000	-0.078364	0.574702	3.461576	
2.140000	-0.072448	0.608265	3.248454	
2.150000	-0.066206	0.639623	3.020857	
2.160000	-0.059663	0.668636	2.779619	
2.170000	-0.052842	0.695173	2.525636	
2.180000	-0.045768	0.719110	2.259860	
2.190000	-0.038469	0.740334	1.983301	
2.200000	-0.030971	0.758743	1.697014	
2.210000	-0.023304	0.774245	1.402103	
2.220000	-0.015496	0.786760	1.099714	
2.230000	-0.007579	0.796219	0.791030	
2.240000	0.000418	0.802564	0.477265	
2.250000	0.008462	0.805751	0.159662	
2.260000	0.016522	0.805749	-0.160512	
2.270000	0.024566	0.802537	-0.481975	
2.280000	0.032562	0.796109	-0.803429	
2.290000	0.040478	0.786472	-1.123573	
2.300000	0.048281	0.773646	-1.441100	
2.310000	0.055940	0.757664	-1.754710	
2.320000	0.063424	0.738570	-2.063108	
2.330000	0.070701	0.716423	-2.365017	
2.340000	0.077743	0.691295	-2.659176	
2.350000	0.084518	0.663269	-2.944352	
2.360000	0.090999	0.632442	-3.219340	
2.370000	0.097158	0.598920	-3.482971	
2.380000	0.102968	0.562824	-3.734114	
2.390000	0.108406	0.524283	-3.971686	
2.400000	0.113446	0.483439	-4.194651	
2.410000	0.118068	0.440442	-4.402029	
2.420000	0.122249	0.395454	-4.592897	
2.430000	0.125970	0.348642	-4.766395	
2.440000	0.129216	0.300186	-4.921729	
2.450000	0.131969	0.250271	-5.058174	
2.460000	0.134217	0.199088	-5.175080	
2.470000	0.135948	0.146836	-5.271873	
2.480000	0.137151	0.093719	-5.348055	
2.490000	0.137820	0.039945	-5.403213	
2.500000	0.137948	-0.014274	-5.437015	
2.510000	0.137533	-0.068723	-5.449215	
2.520000	0.136574	-0.123186	-5.439654	
2.530000	0.135070	-0.177443	-5.408259	
2.540000	0.133026	-0.231278	-5.355046	
2.550000	0.130447	-0.284472	-5.280121	
2.560000	0.127340	-0.336809	-5.183677	
2.570000	0.123714	-0.388075	-5.065995	
2.580000	0.119583	-0.438059	-4.927445	
2.590000	0.114958	-0.486556	-4.768483	
2.600000	0.109857	-0.533363	-4.589650	
2.610000	0.104297	-0.578284	-4.391568	
2.620000	0.098298	-0.621132	-4.174942	
2.630000	0.091882	-0.661724	-3.940556	
2.640000	0.085072	-0.699887	-3.689269	
2.650000	0.077893	-0.735456	-3.422010	
2.660000	0.070372	-0.768277	-3.139781	
2.670000	0.062537	-0.798205	-2.843647	
2.680000	0.054418	-0.825107	-2.534733	
2.690000	0.046045	-0.848861	-2.214224	
2.700000	0.037452	-0.869357	-1.883355	
2.710000	0.028670	-0.886498	-1.543407	
2.720000	0.019733	-0.900200	-1.195708	
2.730000	0.010677	-0.910391	-0.841619	
2.740000	0.001537	-0.917015	-0.482536	
2.750000	-0.007651	-0.920030	-0.119877	
2.760000	-0.016851	-0.919406	0.244914	
2.770000	-0.026027	-0.915129	0.610382	
2.780000	-0.035142	-0.907201	0.975061	
2.790000	-0.044159	-0.895636	1.337484	
2.800000	-0.053042	-0.880464	1.696184	
2.810000	-0.061756	-0.861729	2.049704	
2.820000	-0.070265	-0.839492	2.396603	
2.830000	-0.078535	-0.813824	2.735458	
2.840000	-0.086531	-0.784814	3.064876	
2.850000	-0.094220	-0.752562	3.383494	
2.860000	-0.101571	-0.717184	3.689986	
2.870000	-0.108554	-0.678807	3.983072	
2.880000	-0.115138	-0.637572	4.261519	
2.890000	-0.121296	-0.593630	4.524148	
2.900000	-0.127002	-0.547145	4.769841	
2.910000	-0.132231	-0.498293	4.997541	
2.920000	-0.136961	-0.447258	5.206260	
2.930000	-0.141170	-0.394234	5.395085	
2.940000	-0.144839	-0.339425	5.563176	
2.950000	-0.147953	-0.283042	5.709776	
2.960000	-0.150496	-0.225304	5.834209	
2.970000	-0.152455	-0.166434	5.935888	
2.980000	-0.153821	-0.106663	6.014314	
2.990000	-0.154586	-0.046226	6.069080	
3.000000	-0.154745	0.014638	6.099874	
3.010000	-0.154293	0.075690	6.106476	
3.020000	-0.153231	0.136687	6.088766	
3.030000	-0.151560	0.197385	6.046720	
3.040000	-0.149285	0.257540	5.980411	
3.050000	-0.146412	0.316912	5.890012	
3.060000	-0.142950	0.375261	5.775790	
3.070000	-0.138911	0.432350	5.638114	
3.080000	-0.134308	0.487947	5.477444	
3.090000	-0.129158	0.541824	5.294336	
3.100000	-0.123478	0.593761	5.089438	
3.110000	-0.117290	0.643543	4.863490	
3.120000	-0.110615	0.690963	4.617316	
3.130000	-0.103479	0.735825	4.351826	
3.140000	-0.095908	0.777939	4.068012	
3.150000	-0.087930	0.817127	3.766940	
3.160000	-0.079576	0.853224	3.449752	
3.170000	-0.070876	0.886073	3.117659	
3.180000	-0.061865	0.915531	2.771934	
3.190000	-0.052578	0.941470	2.413910	
3.200000	-0.043048	0.963773	2.044975	
3.210000	-0.033314	0.982338	1.666566	
3.220000	-0.023414	0.997078	1.280160	
3.230000	-0.013386	1.007920	0.887276	
3.240000	-0.003269	1.014807	0.489459	
3.250000	0.006897	1.017698	0.088284	
3.260000	0.017072	1.016567	-0.314659	
3.270000	0.027215	1.011404	-0.717766	
3.280000	0.037286	1.002216	-1.119425	
3.290000	0.047246	0.989026	-1.518028	
3.300000	0.057054	0.971871	-1.911971	
3.310000	0.066670	0.950807	-2.299665	
3.320000	0.076057	0.925904	-2.679541	
3.330000	0.085176	0.897248	-3.050053	
3.340000	0.093990	0.864939	-3.409692	
3.350000	0.102463	0.829095	-3.756985	
3.360000	0.110560	0.789845	-4.090503	
3.370000	0.118249	0.747335	-4.408870	
3.380000	0.125497	0.701723	-4.710764	
3.390000	0.132273	0.653179	-4.994927	
3.400000	0.138551	0.601888	-5.260166	
3.410000	0.144303	0.548043	-5.505360	
3.420000	0.149504	0.491851	-5.729467	
3.430000	0.154133	0.433527	-5.931524	
3.440000	0.158168	0.373297	-6.110655	
3.450000	0.161593	0.311393	-6.266071	
3.460000	0.164391	0.248057	-6.397076	
3.470000	0.166550	0.183535	-6.503072	
3.480000	0.168059	0.118080	-6.583557	
3.490000	0.168909	0.051950	-6.638129	
3.500000	0.169096	-0.014595	-6.666491	
3.510000	0.168617	-0.081292	-6.668448	
3.520000	0.167471	-0.147876	-6.643911	
3.530000	0.165661	-0.214082	-6.592896	
3.540000	0.163192	-0.279646	-6.515527	
3.550000	0.160071	-0.344305	-6.412030	
3.560000	0.156309	-0.407800	-6.282740	
3.570000	0.151920	-0.469875	-6.128095	
3.580000	0.146917	-0.530280	-5.948634	
3.590000	0.141320	-0.588768	-5.745000	
3.600000	0.135149	-0.645101	-5.517933	
3.610000	0.128426	-0.699051	-5.268267	
3.620000	0.121177	-0.750395	-4.996931	
3.630000	0.113428	-0.798921	-4.704944	
3.640000	0.105209	-0.844428	-4.393409	
3.650000	0.096550	-0.886728	-4.063510	
3.660000	0.087485	-0.925641	-3.716510	
3.670000	0.078049	-0.961005	-3.353740	
3.680000	0.068277	-0.992668	-2.976602	
3.690000	0.058208	-1.020494	-2.586557	
3.700000	0.047881	-1.044362	-2.185123	
3.710000	0.037335	-1.064164	-1.773866	
3.720000	0.026611	-1.079811	-1.354396	
3.730000	0.015753	-1.091230	-0.928363	
3.740000	0.004801	-1.098362	-0.497443	
3.750000	-0.006200	-1.101168	-0.063341	
3.760000	-0.017208	-1.099624	0.372225	
3.770000	-0.028178	-1.093725	0.807523	
3.780000	-0.039068	-1.083481	1.240819	
3.790000	-0.049833	-1.068921	1.670383	
3.800000	-0.060432	-1.050091	2.094495	
3.810000	-0.070821	-1.027055	2.511450	
3.820000	-0.080959	-0.999892	2.919570	
3.830000	-0.090806	-0.968698	3.317206	
3.840000	-0.100320	-0.933588	3.702747	
3.850000	-0.109465	-0.894689	4.074627	
3.860000	-0.118202	-0.852146	4.431329	
3.870000	-0.126496	-0.806118	4.771393	
3.880000	-0.134313	-0.756778	5.093423	
3.890000	-0.141621	-0.704314	5.396089	
3.900000	-0.148390	-0.648925	5.678137	
3.910000	-0.154591	-0.590824	5.938392	
3.920000	-0.160198	-0.530233	6.175761	
3.930000	-0.165188	-0.467388	6.389241	
3.940000	-0.169539	-0.402531	6.577923	
3.950000	-0.173233	-0.335915	6.740991	
3.960000	-0.176252	-0.267799	6.877733	
3.970000	-0.178584	-0.198450	6.987539	
3.980000	-0.180218	-0.128140	7.069903	
3.990000	-0.181145	-0.057145	7.124430	
4.000000	-0.181360	0.014255	7.150834	
4.010000	-0.180859	0.085777	7.148939	
4.020000	-0.179645	0.157139	7.118684	
4.030000	-0.177718	0.228057	7.060120	
4.040000	-0.175086	0.298248	6.973409	
4.050000	-0.171757	0.367432	6.858829	
4.060000	-0.167742	0.435333	6.716767	
4.070000	-0.163055	0.501677	6.547722	
4.080000	-0.157714	0.566199	6.352302	
4.090000	-0.151738	0.628638	6.131219	
4.100000	-0.145149	0.688741	5.885293	
4.110000	-0.137972	0.746264	5.615442	
4.120000	-0.130233	0.800973	5.322681	
4.130000	-0.121962	0.852645	5.008122	
4.140000	-0.113191	0.901067	4.672963	
4.150000	-0.103953	0.946040	4.318489	
4.160000	-0.094282	0.987377	3.946063	
4.170000	-0.084218	1.024906	3.557125	
4.180000	-0.073798	1.058469	3.153182	
4.190000	-0.063062	1.087925	2.735806	
4.200000	-0.052053	1.113146	2.306623	
4.210000	-0.040814	1.134023	1.867314	
4.220000	-0.029387	1.150464	1.419601	
4.230000	-0.017819	1.162393	0.965244	
4.240000	-0.006155	1.169753	0.506034	
4.250000	0.005560	1.172504	0.043783	
4.260000	0.017280	1.170625	-0.419677	
4.270000	0.028957	1.164112	-0.882508	
4.280000	0.040547	1.152983	-1.342870	
4.290000	0.052002	1.137269	-1.798929	
4.300000	0.063277	1.117025	-2.248863	
4.310000	0.074327	1.092319	-2.690872	
4.320000	0.085109	1.063239	-3.123183	
4.330000	0.095578	1.029893	-3.544057	
4.340000	0.105693	0.992402	-3.951799	
4.350000	0.115413	0.950906	-4.344760	
4.360000	0.124698	0.905561	-4.721349	
4.370000	0.133512	0.856539	-5.080035	
4.380000	0.141817	0.804025	-5.419355	
4.390000	0.149581	0.748221	-5.737921	
4.400000	0.156771	0.689340	-6.034425	
4.410000	0.163358	0.627610	-6.307643	
4.420000	0.169315	0.563269	-6.556441	
4.430000	0.174616	0.496566	-6.779781	
4.440000	0.179239	0.427761	-6.976725	
4.450000	0.183165	0.357123	-7.146434	
4.460000	0.186376	0.284926	-7.288181	
4.470000	0.188859	0.211454	-7.401344	
4.480000	0.190602	0.136996	-7.485418	
4.490000	0.191597	0.061844	-7.540009	
4.500000	0.191838	-0.013705	-7.564841	
4.510000	0.191322	-0.089353	-7.559756	
4.520000	0.190051	-0.164800	-7.524714	
4.530000	0.188028	-0.239748	-7.459796	
4.540000	0.185259	-0.313897	-7.365199	
4.550000	0.181754	-0.386954	-7.241240	
4.560000	0.177525	-0.458626	-7.088354	
4.570000	0.172587	-0.528626	-6.907090	
4.580000	0.166959	-0.596675	-6.698114	
4.590000	0.160661	-0.662499	-6.462201	
4.600000	0.153717	-0.725832	-6.200234	
4.610000	0.146153	-0.786420	-5.913203	
4.620000	0.137999	-0.844016	-5.602200	
4.630000	0.129284	-0.898388	-5.268412	
4.640000	0.120042	-0.949313	-4.913121	
4.650000	0.110310	-0.996583	-4.537696	
4.660000	0.100123	-1.040004	-4.143589	
4.670000	0.089523	-1.079398	-3.732328	
4.680000	0.078549	-1.114599	-3.305512	
4.690000	0.067245	-1.145462	-2.864807	
4.700000	0.055655	-1.171855	-2.411935	
4.710000	0.043824	-1.193666	-1.948670	
4.720000	0.031797	-1.210800	-1.476831	
4.730000	0.019624	-1.223180	-0.998274	
4.740000	0.007350	-1.230749	-0.514885	
4.750000	-0.004975	-1.233468	-0.028573	
4.760000	-0.017303	-1.231317	0.458738	
4.770000	-0.029585	-1.224296	0.945118	
4.780000	-0.041773	-1.212424	1.428634	
4.790000	-0.053818	-1.195739	1.907365	
4.800000	-0.065672	-1.174299	2.379402	
4.810000	-0.077288	-1.148180	2.842863	
4.820000	-0.088620	-1.117477	3.295893	
4.830000	-0.099623	-1.082303	3.736677	
4.840000	-0.110252	-1.042790	4.163446	
4.850000	-0.120465	-0.999086	4.574482	
4.860000	-0.130220	-0.951358	4.968130	
4.870000	-0.139479	-0.899787	5.342796	
4.880000	-0.148204	-0.844571	5.696963	
4.890000	-0.156359	-0.785921	6.029191	
4.900000	-0.163912	-0.724065	6.338125	
4.910000	-0.170830	-0.659240	6.622500	
4.920000	-0.177087	-0.591700	6.881147	
4.930000	-0.182656	-0.521707	7.112998	
4.940000	-0.187514	-0.449533	7.317086	
4.950000	-0.191641	-0.375461	7.492558	
4.960000	-0.195018	-0.299780	7.638668	
4.970000	-0.197632	-0.222787	7.754790	
4.980000	-0.199470	-0.144786	7.840412	
4.990000	-0.200525	-0.066082	7.895145	
5.000000	-0.200791	0.013014	7.918722	
5.010000	-0.200265	0.092188	7.910997	
5.020000	-0.198948	0.171129	7.871950	
5.030000	-0.196844	0.249523	7.801685	
5.040000	-0.193960	0.327059	7.700430	
5.050000	-0.190307	0.403430	7.568536	
5.060000	-0.185896	0.478330	7.406477	
5.070000	-0.180746	0.551461	7.214847	
5.080000	-0.174874	0.622530	6.994358	
5.090000	-0.168303	0.691254	6.745838	
5.100000	-0.161058	0.757357	6.470228	
5.110000	-0.153166	0.820572	6.168577	
5.120000	-0.144657	0.880645	5.842041	
5.130000	-0.135564	0.937334	5.491874	
5.140000	-0.125922	0.990409	5.119427	
5.150000	-0.115769	1.039653	4.726142	
5.160000	-0.105142	1.084867	4.313545	
5.170000	-0.094085	1.125865	3.883242	
5.180000	-0.082640	1.162478	3.436909	
5.190000	-0.070851	1.194556	2.976293	
5.200000	-0.058764	1.221963	2.503195	
5.210000	-0.046428	1.244584	2.019472	
5.220000	-0.033889	1.262323	1.527025	
5.230000	-0.021198	1.275102	1.027792	
5.240000	-0.008404	1.282863	0.523739	
5.250000	0.004443	1.285567	0.016859	
5.260000	0.017291	1.283197	-0.490846	
5.270000	0.030090	1.275754	-0.997365	
5.280000	0.042789	1.263261	-1.500689	
5.290000	0.055338	1.245758	-1.998821	
5.300000	0.067688	1.223308	-2.489777	
5.310000	0.079788	1.195993	-2.971604	
5.320000	0.091592	1.163913	-3.442379	
5.330000	0.103051	1.127188	-3.900220	
5.340000	0.114121	1.085958	-4.343296	
5.350000	0.124756	1.040378	-4.769830	
5.360000	0.134914	0.990622	-5.178109	
5.370000	0.144555	0.936882	-5.566490	
5.380000	0.153639	0.879364	-5.933405	
5.390000	0.162130	0.818290	-6.277371	
5.400000	0.169994	0.753897	-6.596993	
5.410000	0.177198	0.686436	-6.890971	
5.420000	0.183713	0.616168	-7.158105	
5.430000	0.189513	0.543367	-7.397299	
5.440000	0.194573	0.468318	-7.607567	
5.450000	0.198873	0.391315	-7.788036	
5.460000	0.202394	0.312659	-7.937950	
5.470000	0.205121	0.232660	-8.056675	
5.480000	0.207044	0.151631	-8.143696	
5.490000	0.208152	0.069893	-8.198626	
5.500000	0.208440	-0.012233	-8.221204	
5.510000	0.207907	-0.094423	-8.211297	
5.520000	0.206553	-0.176351	-8.168900	
5.530000	0.204382	-0.257693	-8.094138	
5.540000	0.201402	-0.338127	-7.987263	
5.550000	0.197623	-0.417333	-7.848657	
5.560000	0.193060	-0.494996	-7.678825	
5.570000	0.187730	-0.570807	-7.478399	
5.580000	0.181651	-0.644464	-7.248132	
5.590000	0.174848	-0.715673	-6.988898	
5.600000	0.167347	-0.784149	-6.701684	
5.610000	0.159176	-0.849617	-6.387592	
5.620000	0.150366	-0.911815	-6.047831	
5.630000	0.140951	-0.970493	-5.683712	
5.640000	0.130968	-1.025413	-5.296646	
5.650000	0.120456	-1.076354	-4.888136	
5.660000	0.109455	-1.123109	-4.459772	
5.670000	0.098008	-1.165489	-4.013224	
5.680000	0.086160	-1.203319	-3.550239	
5.690000	0.073958	-1.236445	-3.072628	
5.700000	0.061448	-1.264729	-2.582263	
5.710000	0.048680	-1.288054	-2.081070	
5.720000	0.035704	-1.306321	-1.571020	
5.730000	0.022570	-1.319452	-1.054120	
5.740000	0.009332	-1.327387	-0.532409	
5.750000	-0.003960	-1.330091	-0.007946	
5.760000	-0.017253	-1.327544	0.517196	
5.770000	-0.030493	-1.319751	1.040939	
5.780000	-0.043630	-1.306737	1.561208	
5.790000	-0.056611	-1.288546	2.075940	
5.800000	-0.069384	-1.265243	2.583090	
5.810000	-0.081899	-1.236916	3.080641	
5.820000	-0.094106	-1.203669	3.566613	
5.830000	-0.105956	-1.165629	4.039068	
5.840000	-0.117403	-1.122939	4.496120	
5.850000	-0.128400	-1.075764	4.935941	
5.860000	-0.138904	-1.024284	5.356770	
5.870000	-0.148872	-0.968697	5.756919	
5.880000	-0.158265	-0.909220	6.134780	
5.890000	-0.167044	-0.846081	6.488831	
5.900000	-0.175175	-0.779527	6.817643	
5.910000	-0.182624	-0.709817	7.119885	
5.920000	-0.189362	-0.637222	7.394331	
5.930000	-0.195360	-0.562027	7.639861	
5.940000	-0.200595	-0.484525	7.855472	
5.950000	-0.205044	-0.405020	8.040275	
5.960000	-0.208689	-0.323824	8.193504	
5.970000	-0.211516	-0.241257	8.314516	
5.980000	-0.213511	-0.157643	8.402797	
5.990000	-0.214666	-0.073312	8.457959	
6.000000	-0.214976	0.011405	8.479748	

