id	Desplazamiento	Velocidad	Aceleracion
1.43000	0.08714	0.23497	-3.16218	
1.44000	0.08933	0.20273	-3.28597	
1.45000	0.09119	0.16931	-3.39752	
1.46000	0.09271	0.13484	-3.49623	
1.47000	0.09389	0.09946	-3.58155	
1.48000	0.09470	0.06328	-3.65300	
1.49000	0.09515	0.02647	-3.71012	
1.50000	0.09523	-0.01085	-3.75255	
1.51000	0.09493	-0.04851	-3.77996	
1.52000	0.09425	-0.08637	-3.79209	
1.53000	0.09320	-0.12427	-3.78875	
1.54000	0.09177	-0.16207	-3.76979	
1.55000	0.08996	-0.19959	-3.73515	
1.56000	0.08778	-0.23669	-3.68483	
1.57000	0.08523	-0.27321	-3.61889	
1.58000	0.08232	-0.30899	-3.53746	
1.59000	0.07906	-0.34388	-3.44074	
1.60000	0.07545	-0.37773	-3.32899	
1.61000	0.07151	-0.41039	-3.20254	
1.62000	0.06725	-0.44171	-3.06178	
1.63000	0.06268	-0.47155	-2.90718	
1.64000	0.05782	-0.49979	-2.73925	
1.65000	0.05269	-0.52628	-2.55858	
1.66000	0.04731	-0.55090	-2.36579	
1.67000	0.04168	-0.57353	-2.16159	
1.68000	0.03585	-0.59408	-1.94673	
1.69000	0.02981	-0.61242	-1.72200	
1.70000	0.02361	-0.62847	-1.48825	
1.71000	0.01726	-0.64214	-1.24638	
1.72000	0.01078	-0.65336	-0.99731	
1.73000	0.00420	-0.66206	-0.74202	
1.74000	-0.00245	-0.66818	-0.48151	
1.75000	-0.00915	-0.67167	-0.21681	
1.76000	-0.01587	-0.67250	0.05101	
1.77000	-0.02258	-0.67064	0.32088	
1.78000	-0.02927	-0.66608	0.59169	
1.79000	-0.03589	-0.65881	0.86235	
1.80000	-0.04243	-0.64883	1.13173	
1.81000	-0.04886	-0.63618	1.39871	
1.82000	-0.05514	-0.62088	1.66218	
1.83000	-0.06126	-0.60296	1.92102	
1.84000	-0.06719	-0.58249	2.17413	
1.85000	-0.07290	-0.55951	2.42043	
1.86000	-0.07837	-0.53412	2.65885	
1.87000	-0.08357	-0.50638	2.88835	
1.88000	-0.08848	-0.47640	3.10793	
1.89000	-0.09309	-0.44428	3.31660	
1.90000	-0.09736	-0.41013	3.51344	
1.91000	-0.10128	-0.37407	3.69754	
1.92000	-0.10483	-0.33624	3.86805	
1.93000	-0.10800	-0.29678	4.02419	
1.94000	-0.11076	-0.25584	4.16520	
1.95000	-0.11311	-0.21356	4.29040	
1.96000	-0.11502	-0.17011	4.39916	
1.97000	-0.11650	-0.12566	4.49092	
1.98000	-0.11753	-0.08038	4.56519	
1.99000	-0.11811	-0.03445	4.62153	
2.00000	-0.11822	0.01196	4.65961	
2.01000	-0.11787	0.05865	4.67912	
2.02000	-0.11705	0.10545	4.67987	
2.03000	-0.11576	0.15216	4.66172	
2.04000	-0.11400	0.19859	4.62462	
2.05000	-0.11179	0.24455	4.56859	
2.06000	-0.10912	0.28987	4.49374	
2.07000	-0.10600	0.33434	4.40024	
2.08000	-0.10243	0.37778	4.28835	
2.09000	-0.09845	0.42001	4.15841	
2.10000	-0.09404	0.46086	4.01083	
2.11000	-0.08924	0.50014	3.84609	
2.12000	-0.08405	0.53770	3.66476	
2.13000	-0.07849	0.57336	3.46746	
2.14000	-0.07259	0.60697	3.25490	
2.15000	-0.06636	0.63838	3.02784	
2.16000	-0.05983	0.66746	2.78712	
2.17000	-0.05303	0.69406	2.53363	
2.18000	-0.04597	0.71807	2.26832	
2.19000	-0.03868	0.73938	1.99219	
2.20000	-0.03119	0.75787	1.70631	
2.21000	-0.02354	0.77346	1.41177	
2.22000	-0.01574	0.78607	1.10971	
2.23000	-0.00783	0.79562	0.80133	
2.24000	0.00016	0.80207	0.48782	
2.25000	0.00820	0.80536	0.17043	
2.26000	0.01625	0.80546	-0.14957	
2.27000	0.02429	0.80236	-0.47091	
2.28000	0.03228	0.79604	-0.79228	
2.29000	0.04019	0.78652	-1.11238	
2.30000	0.04800	0.77381	-1.42992	
2.31000	0.05565	0.75794	-1.74358	
2.32000	0.06314	0.73896	-2.05209	
2.33000	0.07042	0.71693	-2.35415	
2.34000	0.07746	0.69192	-2.64850	
2.35000	0.08424	0.66401	-2.93393	
2.36000	0.09073	0.63329	-3.20921	
2.37000	0.09689	0.59988	-3.47318	
2.38000	0.10271	0.56389	-3.72470	
2.39000	0.10816	0.52545	-3.96270	
2.40000	0.11321	0.48471	-4.18614	
2.41000	0.11784	0.44181	-4.39403	
2.42000	0.12204	0.39691	-4.58545	
2.43000	0.12577	0.35018	-4.75954	
2.44000	0.12903	0.30181	-4.91549	
2.45000	0.13180	0.25197	-5.05260	
2.46000	0.13407	0.20086	-5.17019	
2.47000	0.13581	0.14867	-5.26770	
2.48000	0.13703	0.09560	-5.34463	
2.49000	0.13772	0.04188	-5.40055	
2.50000	0.13787	-0.01230	-5.43514	
2.51000	0.13747	-0.06672	-5.44814	
2.52000	0.13654	-0.12115	-5.43940	
2.53000	0.13505	-0.17540	-5.40883	
2.54000	0.13303	-0.22922	-5.35645	
2.55000	0.13047	-0.28242	-5.28236	
2.56000	0.12739	-0.33476	-5.18675	
2.57000	0.12378	-0.38604	-5.06990	
2.58000	0.11967	-0.43605	-4.93218	
2.59000	0.11507	-0.48459	-4.77403	
2.60000	0.10999	-0.53144	-4.59600	
2.61000	0.10445	-0.57641	-4.39870	
2.62000	0.09847	-0.61932	-4.18283	
2.63000	0.09207	-0.65998	-3.94919	
2.64000	0.08528	-0.69822	-3.69861	
2.65000	0.07812	-0.73387	-3.43203	
2.66000	0.07062	-0.76678	-3.15044	
2.67000	0.06280	-0.79681	-2.85491	
2.68000	0.05470	-0.82382	-2.54657	
2.69000	0.04634	-0.84768	-2.22658	
2.70000	0.03776	-0.86830	-1.89619	
2.71000	0.02899	-0.88556	-1.55667	
2.72000	0.02007	-0.89939	-1.20935	
2.73000	0.01102	-0.90971	-0.85559	
2.74000	0.00189	-0.91648	-0.49677	
2.75000	-0.00729	-0.91963	-0.13433	
2.76000	-0.01649	-0.91915	0.23030	
2.77000	-0.02566	-0.91502	0.59567	
2.78000	-0.03477	-0.90724	0.96031	
2.79000	-0.04378	-0.89583	1.32275	
2.80000	-0.05267	-0.88081	1.68153	
2.81000	-0.06138	-0.86222	2.03520	
2.82000	-0.06989	-0.84013	2.38230	
2.83000	-0.07817	-0.81462	2.72142	
2.84000	-0.08617	-0.78575	3.05117	
2.85000	-0.09387	-0.75365	3.37017	
2.86000	-0.10123	-0.71841	3.67711	
2.87000	-0.10822	-0.68017	3.97069	
2.88000	-0.11481	-0.63907	4.24970	
2.89000	-0.12099	-0.59526	4.51294	
2.90000	-0.12671	-0.54889	4.75929	
2.91000	-0.13195	-0.50016	4.98770	
2.92000	-0.13670	-0.44924	5.19718	
2.93000	-0.14093	-0.39632	5.38681	
2.94000	-0.14462	-0.34160	5.55575	
2.95000	-0.14775	-0.28531	5.70323	
2.96000	-0.15032	-0.22765	5.82859	
2.97000	-0.15230	-0.16885	5.93122	
2.98000	-0.15369	-0.10914	6.01062	
2.99000	-0.15448	-0.04876	6.06639	
3.00000	-0.15466	0.01207	6.09820	
3.01000	-0.15424	0.07309	6.10585	
3.02000	-0.15320	0.13406	6.08919	
3.03000	-0.15156	0.19475	6.04820	
3.04000	-0.14931	0.25491	5.98295	
3.05000	-0.14646	0.31429	5.89361	
3.06000	-0.14303	0.37266	5.78045	
3.07000	-0.13901	0.42978	5.64382	
3.08000	-0.13444	0.48542	5.48418	
3.09000	-0.12931	0.53935	5.30208	
3.10000	-0.12366	0.59135	5.09818	
3.11000	-0.11750	0.64121	4.87319	
3.12000	-0.11085	0.68872	4.62795	
3.13000	-0.10374	0.73367	4.36336	
3.14000	-0.09619	0.77589	4.08040	
3.15000	-0.08823	0.81519	3.78014	
3.16000	-0.07990	0.85141	3.46372	
3.17000	-0.07122	0.88439	3.13234	
3.18000	-0.06223	0.91399	2.78728	
3.19000	-0.05296	0.94008	2.42986	
3.20000	-0.04345	0.96253	2.06147	
3.21000	-0.03373	0.98126	1.68354	
3.22000	-0.02384	0.99616	1.29755	
3.23000	-0.01382	1.00718	0.90502	
3.24000	-0.00372	1.01424	0.50748	
3.25000	0.00644	1.01731	0.10651	
3.26000	0.01661	1.01636	-0.29630	
3.27000	0.02675	1.01138	-0.69934	
3.28000	0.03682	1.00238	-1.10101	
3.29000	0.04678	0.98938	-1.49970	
3.30000	0.05658	0.97241	-1.89381	
3.31000	0.06620	0.95153	-2.28174	
3.32000	0.07560	0.92681	-2.66193	
3.33000	0.08472	0.89834	-3.03283	
3.34000	0.09354	0.86621	-3.39293	
3.35000	0.10203	0.83054	-3.74076	
3.36000	0.11014	0.79146	-4.07488	
3.37000	0.11784	0.74912	-4.39392	
3.38000	0.12511	0.70367	-4.69655	
3.39000	0.13190	0.65528	-4.98151	
3.40000	0.13820	0.60413	-5.24761	
3.41000	0.14397	0.55042	-5.49373	
3.42000	0.14919	0.49436	-5.71881	
3.43000	0.15385	0.43616	-5.92189	
3.44000	0.15791	0.37604	-6.10209	
3.45000	0.16136	0.31424	-6.25862	
3.46000	0.16419	0.25099	-6.39078	
3.47000	0.16637	0.18654	-6.49796	
3.48000	0.16791	0.12116	-6.57966	
3.49000	0.16879	0.05508	-6.63548	
3.50000	0.16901	-0.01142	-6.66510	
3.51000	0.16856	-0.07809	-6.66833	
3.52000	0.16745	-0.14466	-6.64508	
3.53000	0.16567	-0.21086	-6.59536	
3.54000	0.16324	-0.27643	-6.51928	
3.55000	0.16015	-0.34111	-6.41707	
3.56000	0.15642	-0.40464	-6.28905	
3.57000	0.15206	-0.46677	-6.13566	
3.58000	0.14709	-0.52723	-5.95744	
3.59000	0.14153	-0.58580	-5.75501	
3.60000	0.13539	-0.64222	-5.52912	
3.61000	0.12869	-0.69626	-5.28059	
3.62000	0.12147	-0.74772	-5.01036	
3.63000	0.11375	-0.79637	-4.71942	
3.64000	0.10556	-0.84201	-4.40888	
3.65000	0.09693	-0.88445	-4.07993	
3.66000	0.08789	-0.92352	-3.73381	
3.67000	0.07848	-0.95905	-3.37186	
3.68000	0.06873	-0.99089	-2.99548	
3.69000	0.05868	-1.01890	-2.60611	
3.70000	0.04837	-1.04295	-2.20529	
3.71000	0.03784	-1.06295	-1.79456	
3.72000	0.02713	-1.07880	-1.37554	
3.73000	0.01628	-1.09043	-0.94987	
3.74000	0.00534	-1.09777	-0.51923	
3.75000	-0.00565	-1.10080	-0.08533	
3.76000	-0.01665	-1.09947	0.35013	
3.77000	-0.02762	-1.09380	0.78541	
3.78000	-0.03850	-1.08377	1.21878	
3.79000	-0.04927	-1.06944	1.64850	
3.80000	-0.05987	-1.05083	2.07286	
3.81000	-0.07027	-1.02802	2.49015	
3.82000	-0.08041	-1.00107	2.89870	
3.83000	-0.09027	-0.97009	3.29685	
3.84000	-0.09979	-0.93520	3.68299	
3.85000	-0.10895	-0.89650	4.05555	
3.86000	-0.11771	-0.85416	4.41302	
3.87000	-0.12602	-0.80833	4.75392	
3.88000	-0.13386	-0.75917	5.07687	
3.89000	-0.14119	-0.70688	5.38053	
3.90000	-0.14798	-0.65166	5.66364	
3.91000	-0.15421	-0.59372	5.92502	
3.92000	-0.15984	-0.53328	6.16358	
3.93000	-0.16486	-0.47057	6.37830	
3.94000	-0.16924	-0.40583	6.56828	
3.95000	-0.17297	-0.33933	6.73269	
3.96000	-0.17602	-0.27131	6.87081	
3.97000	-0.17839	-0.20205	6.98204	
3.98000	-0.18006	-0.13181	7.06586	
3.99000	-0.18102	-0.06087	7.12186	
4.00000	-0.18127	0.01049	7.14976	
4.01000	-0.18081	0.08198	7.14938	
4.02000	-0.17963	0.15333	7.12064	
4.03000	-0.17775	0.22425	7.06359	
4.04000	-0.17515	0.29446	6.97839	
4.05000	-0.17186	0.36368	6.86532	
4.06000	-0.16788	0.43163	6.72474	
4.07000	-0.16324	0.49804	6.55716	
4.08000	-0.15793	0.56264	6.36317	
4.09000	-0.15199	0.62518	6.14349	
4.10000	-0.14544	0.68539	5.89892	
4.11000	-0.13830	0.74304	5.63038	
4.12000	-0.13059	0.79788	5.33887	
4.13000	-0.12236	0.84970	5.02551	
4.14000	-0.11362	0.89829	4.69149	
4.15000	-0.10441	0.94344	4.33808	
4.16000	-0.09477	0.98496	3.96665	
4.17000	-0.08473	1.02269	3.57863	
4.18000	-0.07433	1.05646	3.17553	
4.19000	-0.06362	1.08613	2.75890	
4.20000	-0.05263	1.11158	2.33039	
4.21000	-0.04141	1.13269	1.89165	
4.22000	-0.03000	1.14937	1.44441	
4.23000	-0.01844	1.16154	0.99044	
4.24000	-0.00679	1.16915	0.53151	
4.25000	0.00492	1.17216	0.06944	
4.26000	0.01663	1.17053	-0.39395	
4.27000	0.02830	1.16428	-0.85680	
4.28000	0.03989	1.15341	-1.31729	
4.29000	0.05135	1.13796	-1.77359	
4.30000	0.06263	1.11797	-2.22386	
4.31000	0.07369	1.09352	-2.66630	
4.32000	0.08448	1.06469	-3.09915	
4.33000	0.09496	1.03159	-3.52066	
4.34000	0.10509	0.99434	-3.92914	
4.35000	0.11483	0.95308	-4.32293	
4.36000	0.12413	0.90796	-4.70045	
4.37000	0.13297	0.85916	-5.06014	
4.38000	0.14130	0.80686	-5.40056	
4.39000	0.14909	0.75125	-5.72031	
4.40000	0.15631	0.69256	-6.01806	
4.41000	0.16292	0.63101	-6.29261	
4.42000	0.16891	0.56683	-6.54280	
4.43000	0.17425	0.50028	-6.76760	
4.44000	0.17891	0.43161	-6.96606	
4.45000	0.18287	0.36109	-7.13733	
4.46000	0.18612	0.28900	-7.28069	
4.47000	0.18864	0.21562	-7.39550	
4.48000	0.19043	0.14124	-7.48125	
4.49000	0.19147	0.06615	-7.53755	
4.50000	0.19175	-0.00936	-7.56410	
4.51000	0.19128	-0.08499	-7.56075	
4.52000	0.19005	-0.16043	-7.52745	
4.53000	0.18807	-0.23539	-7.46427	
4.54000	0.18535	-0.30957	-7.37140	
4.55000	0.18189	-0.38267	-7.24916	
4.56000	0.17770	-0.45440	-7.09796	
4.57000	0.17281	-0.52449	-6.91836	
4.58000	0.16722	-0.59263	-6.71100	
4.59000	0.16096	-0.65857	-6.47667	
4.60000	0.15406	-0.72204	-6.21623	
4.61000	0.14654	-0.78277	-5.93067	
4.62000	0.13842	-0.84053	-5.62108	
4.63000	0.12974	-0.89508	-5.28863	
4.64000	0.12054	-0.94619	-4.93461	
4.65000	0.11084	-0.99367	-4.56037	
4.66000	0.10068	-1.03731	-4.16736	
4.67000	0.09011	-1.07693	-3.75711	
4.68000	0.07917	-1.11237	-3.33121	
4.69000	0.06789	-1.14348	-2.89133	
4.70000	0.05632	-1.17014	-2.43917	
4.71000	0.04451	-1.19221	-1.97652	
4.72000	0.03250	-1.20962	-1.50518	
4.73000	0.02034	-1.22228	-1.02701	
4.74000	0.00808	-1.23014	-0.54390	
4.75000	-0.00424	-1.23315	-0.05775	
4.76000	-0.01656	-1.23129	0.42952	
4.77000	-0.02884	-1.22456	0.91597	
4.78000	-0.04103	-1.21298	1.39967	
4.79000	-0.05308	-1.19659	1.87871	
4.80000	-0.06494	-1.17544	2.35116	
4.81000	-0.07656	-1.14961	2.81516	
4.82000	-0.08791	-1.11919	3.26884	
4.83000	-0.09893	-1.08429	3.71038	
4.84000	-0.10957	-1.04505	4.13802	
4.85000	-0.11981	-1.00161	4.55003	
4.86000	-0.12958	-0.95414	4.94476	
4.87000	-0.13887	-0.90281	5.32060	
4.88000	-0.14762	-0.84783	5.67603	
4.89000	-0.15581	-0.78940	6.00962	
4.90000	-0.16339	-0.72775	6.32000	
4.91000	-0.17035	-0.66312	6.60590	
4.92000	-0.17664	-0.59576	6.86614	
4.93000	-0.18225	-0.52593	7.09965	
4.94000	-0.18715	-0.45391	7.30546	
4.95000	-0.19132	-0.37997	7.48271	
4.96000	-0.19474	-0.30440	7.63065	
4.97000	-0.19740	-0.22750	7.74863	
4.98000	-0.19929	-0.14958	7.83615	
4.99000	-0.20039	-0.07093	7.89281	
5.00000	-0.20070	0.00812	7.91833	
5.01000	-0.20023	0.08728	7.91255	
5.02000	-0.19896	0.16622	7.87546	
5.03000	-0.19690	0.24463	7.80714	
5.04000	-0.19407	0.32220	7.70782	
5.05000	-0.19047	0.39863	7.57784	
5.06000	-0.18610	0.47361	7.41766	
5.07000	-0.18100	0.54684	7.22788	
5.08000	-0.17518	0.61802	7.00919	
5.09000	-0.16865	0.68688	6.76242	
5.10000	-0.16145	0.75314	6.48850	
5.11000	-0.15361	0.81652	6.18848	
5.12000	-0.14514	0.87678	5.86349	
5.13000	-0.13609	0.93367	5.51480	
5.14000	-0.12648	0.98696	5.14374	
5.15000	-0.11637	1.03644	4.75175	
5.16000	-0.10577	1.08190	4.34036	
5.17000	-0.09475	1.12316	3.91115	
5.18000	-0.08333	1.16005	3.46581	
5.19000	-0.07157	1.19240	3.00607	
5.20000	-0.05951	1.22010	2.53374	
5.21000	-0.04719	1.24303	2.05066	
5.22000	-0.03467	1.26107	1.55873	
5.23000	-0.02200	1.27417	1.05990	
5.24000	-0.00921	1.28225	0.55612	
5.25000	0.00362	1.28527	0.04938	
5.26000	0.01647	1.28323	-0.45831	
5.27000	0.02926	1.27611	-0.96494	
5.28000	0.04196	1.26394	-1.46851	
5.29000	0.05452	1.24677	-1.96702	
5.30000	0.06687	1.22464	-2.45848	
5.31000	0.07899	1.19764	-2.94094	
5.32000	0.09080	1.16588	-3.41246	
5.33000	0.10228	1.12946	-3.87118	
5.34000	0.11337	1.08853	-4.31526	
5.35000	0.12403	1.04323	-4.74290	
5.36000	0.13421	0.99376	-5.15241	
5.37000	0.14388	0.94029	-5.54212	
5.38000	0.15300	0.88302	-5.91047	
5.39000	0.16153	0.82219	-6.25596	
5.40000	0.16943	0.75802	-6.57721	
5.41000	0.17667	0.69077	-6.87289	
5.42000	0.18323	0.62070	-7.14181	
5.43000	0.18907	0.54808	-7.38286	
5.44000	0.19418	0.47319	-7.59505	
5.45000	0.19853	0.39632	-7.77750	
5.46000	0.20210	0.31779	-7.92944	
5.47000	0.20488	0.23789	-8.05024	
5.48000	0.20685	0.15694	-8.13936	
5.49000	0.20801	0.07526	-8.19642	
5.50000	0.20835	-0.00682	-8.22114	
5.51000	0.20787	-0.08900	-8.21339	
5.52000	0.20657	-0.17093	-8.17314	
5.53000	0.20446	-0.25230	-8.10053	
5.54000	0.20153	-0.33278	-7.99578	
5.55000	0.19781	-0.41205	-7.85927	
5.56000	0.19330	-0.48981	-7.69150	
5.57000	0.18802	-0.56573	-7.49310	
5.58000	0.18199	-0.63952	-7.26480	
5.59000	0.17524	-0.71088	-7.00748	
5.60000	0.16779	-0.77953	-6.72211	
5.61000	0.15967	-0.84519	-6.40979	
5.62000	0.15090	-0.90760	-6.07171	
5.63000	0.14153	-0.96650	-5.70919	
5.64000	0.13159	-1.02166	-5.32363	
5.65000	0.12112	-1.07287	-4.91652	
5.66000	0.11016	-1.11990	-4.48945	
5.67000	0.09874	-1.16256	-4.04408	
5.68000	0.08693	-1.20069	-3.58215	
5.69000	0.07475	-1.23413	-3.10547	
5.70000	0.06227	-1.26274	-2.61592	
5.71000	0.04952	-1.28640	-2.11540	
5.72000	0.03657	-1.30500	-1.60589	
5.73000	0.02345	-1.31848	-1.08940	
5.74000	0.01022	-1.32677	-0.56795	
5.75000	-0.00306	-1.32982	-0.04362	
5.76000	-0.01635	-1.32763	0.48154	
5.77000	-0.02959	-1.32020	1.00544	
5.78000	-0.04273	-1.30754	1.52601	
5.79000	-0.05571	-1.28971	2.04119	
5.80000	-0.06849	-1.26676	2.54892	
5.81000	-0.08102	-1.23877	3.04719	
5.82000	-0.09325	-1.20587	3.53402	
5.83000	-0.10512	-1.16816	4.00746	
5.84000	-0.11659	-1.12580	4.46563	
5.85000	-0.12761	-1.07893	4.90669	
5.86000	-0.13814	-1.02776	5.32888	
5.87000	-0.14814	-0.97246	5.73051	
5.88000	-0.15757	-0.91326	6.10996	
5.89000	-0.16639	-0.85038	6.46570	
5.90000	-0.17456	-0.78407	6.79630	
5.91000	-0.18206	-0.71458	7.10043	
5.92000	-0.18884	-0.64220	7.37684	
5.93000	-0.19489	-0.56719	7.62441	
5.94000	-0.20017	-0.48986	7.84213	
5.95000	-0.20467	-0.41050	8.02910	
5.96000	-0.20837	-0.32944	8.18455	
5.97000	-0.21126	-0.24697	8.30782	
5.98000	-0.21331	-0.16344	8.39840	
5.99000	-0.21452	-0.07917	8.45588	
6.00000	-0.21489	0.00551	8.48001	

